epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.56345,2.88918,4.0844,2.51775,0,0,0,0,3.85662,4.13615,3.16076,0.00038583,0.00038583,0.00038583
2,13.3067,2.64625,3.79083,2.41612,0.00539,0.2037,0.00638,0.00321,3.28857,3.99081,2.80867,0.000778169,0.000778169,0.000778169
3,19.548,2.43133,3.39443,2.29614,0.74346,0.10002,0.22243,0.11917,2.50335,3.27821,2.35421,0.00116259,0.00116259,0.00116259
4,25.4242,2.44128,3.18337,2.19665,0.62393,0.3997,0.31158,0.16881,2.00971,2.31811,1.96171,0.00138656,0.00138656,0.00138656
5,31.3724,2.25771,2.79686,2.08579,0.62393,0.3997,0.31158,0.16881,2.00971,2.31811,1.96171,0.00137241,0.00137241,0.00137241
6,37.6321,2.24357,2.6052,2.0116,0.65477,0.3722,0.38505,0.20993,1.81552,2.62244,1.74619,0.00135826,0.00135826,0.00135826
7,43.6409,2.22822,2.45604,1.96645,0.76465,0.35255,0.44,0.25049,1.78263,2.18438,1.70124,0.00134412,0.00134412,0.00134412
8,49.4493,2.22772,2.35479,1.89236,0.83336,0.40692,0.49123,0.29182,1.8201,1.82411,1.73281,0.00132997,0.00132997,0.00132997
9,55.3167,2.1763,2.17598,1.8073,0.89549,0.50726,0.54987,0.32313,1.82691,1.70743,1.73106,0.00131582,0.00131582,0.00131582
10,61.5233,2.12979,2.09459,1.79582,0.91952,0.50628,0.55812,0.33678,1.82189,1.70213,1.71736,0.00130168,0.00130168,0.00130168
11,67.8674,2.07259,1.92999,1.684,0.91116,0.49778,0.5527,0.35097,1.85746,1.81651,1.7192,0.00128753,0.00128753,0.00128753
12,74.2068,2.08976,1.85084,1.71608,0.87882,0.5258,0.55019,0.35747,1.85563,1.78314,1.67023,0.00127338,0.00127338,0.00127338
13,80.8167,2.04368,1.76719,1.63456,0.87882,0.5258,0.55019,0.35747,1.85563,1.78314,1.67023,0.00125923,0.00125923,0.00125923
14,87.1548,2.02592,1.72744,1.61254,0.86875,0.5523,0.54751,0.35791,1.85192,1.75621,1.6229,0.00124509,0.00124509,0.00124509
15,93.6585,2.03391,1.81446,1.64044,0.90743,0.55927,0.56634,0.37673,1.77945,1.65149,1.55321,0.00123094,0.00123094,0.00123094
16,100.096,1.91553,1.68198,1.55649,0.90984,0.55736,0.58883,0.39228,1.7096,1.55224,1.5071,0.00121679,0.00121679,0.00121679
17,106.478,1.85565,1.58894,1.51333,0.92771,0.53975,0.63605,0.41314,1.65732,1.43949,1.46991,0.00120265,0.00120265,0.00120265
18,112.793,1.90164,1.61636,1.56615,0.89259,0.57462,0.72135,0.4583,1.61276,1.35784,1.4449,0.0011885,0.0011885,0.0011885
19,119.282,1.81007,1.58031,1.51554,0.90254,0.5615,0.74929,0.47238,1.58223,1.30289,1.42694,0.00117435,0.00117435,0.00117435
20,126.02,1.85534,1.54092,1.45558,0.90087,0.57462,0.76002,0.47712,1.55709,1.25468,1.38418,0.00116021,0.00116021,0.00116021
21,132.4,1.8097,1.47351,1.46743,0.90087,0.57462,0.76002,0.47712,1.55709,1.25468,1.38418,0.00114606,0.00114606,0.00114606
22,139.048,1.83915,1.50451,1.5078,0.91213,0.54641,0.78958,0.49183,1.53348,1.22145,1.37357,0.00113191,0.00113191,0.00113191
23,145.589,1.79227,1.46213,1.46719,0.70913,0.6977,0.80682,0.48767,1.5296,1.20623,1.36459,0.00111776,0.00111776,0.00111776
24,152.219,1.72651,1.42482,1.43652,0.73376,0.71606,0.83411,0.49345,1.52799,1.20322,1.35402,0.00110362,0.00110362,0.00110362
25,158.812,1.71533,1.35229,1.41397,0.7947,0.68606,0.84173,0.50533,1.51749,1.18964,1.34265,0.00108947,0.00108947,0.00108947
26,165.184,1.79328,1.41785,1.4749,0.72964,0.72125,0.84498,0.50305,1.5167,1.17402,1.33871,0.00107532,0.00107532,0.00107532
27,171.543,1.68941,1.32382,1.41907,0.78658,0.70212,0.84226,0.51113,1.49612,1.14214,1.32569,0.00106118,0.00106118,0.00106118
28,177.753,1.7297,1.34731,1.4342,0.75697,0.71388,0.83842,0.50905,1.47908,1.10106,1.31058,0.00104703,0.00104703,0.00104703
29,184.261,1.66674,1.28835,1.37983,0.75697,0.71388,0.83842,0.50905,1.47908,1.10106,1.31058,0.00103288,0.00103288,0.00103288
