epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1584,2.70764,4.0598,2.41043,0.00042,0.04444,0.0001,1e-05,4.05299,4.14228,3.19787,0.00018577,0.00018577,0.00018577
2,27.996,2.3442,3.54222,2.21391,0.00275,0.06667,0.00054,0.00011,3.75591,4.16806,3.13088,0.000383284,0.000383284,0.000383284
3,42.3726,2.1174,2.79436,2.00875,0.00786,0.23901,0.07639,0.03535,3.44018,4.22677,3.00248,0.000578156,0.000578156,0.000578156
4,54.7534,2.07079,2.36955,1.83132,0.84409,0.18523,0.23639,0.08669,3.02389,3.39617,2.46603,0.000770388,0.000770388,0.000770388
5,67.1284,1.90971,1.99005,1.6745,0.72922,0.3357,0.36181,0.14858,2.53151,2.56969,1.86867,0.000959979,0.000959979,0.000959979
6,79.6099,1.92934,1.77207,1.58171,0.77003,0.49979,0.51616,0.30163,2.1729,2.31249,1.57092,0.00114693,0.00114693,0.00114693
7,95.2511,1.85749,1.63566,1.50071,0.78766,0.55336,0.54322,0.32392,1.98167,2.03655,1.49585,0.00133124,0.00133124,0.00133124
8,103.153,1.78361,1.57341,1.48402,0.8389,0.59797,0.55651,0.33579,1.67759,1.68402,1.38968,0.00136298,0.00136298,0.00136298
9,111.341,1.72701,1.50415,1.43489,0.84872,0.59025,0.56254,0.34928,1.59817,1.60777,1.38095,0.00135355,0.00135355,0.00135355
10,118.205,1.72044,1.45479,1.41823,0.87599,0.56853,0.58164,0.36657,1.4438,1.53282,1.3456,0.00134412,0.00134412,0.00134412
11,125.086,1.65735,1.37496,1.37236,0.8761,0.55637,0.59888,0.37809,1.44768,1.47158,1.34586,0.00133469,0.00133469,0.00133469
12,132.605,1.55082,1.30767,1.33192,0.79299,0.62366,0.68525,0.41397,1.40876,1.28235,1.33228,0.00132525,0.00132525,0.00132525
13,140.215,1.55828,1.26245,1.32767,0.81539,0.6406,0.74053,0.45005,1.34683,1.11196,1.30537,0.00131582,0.00131582,0.00131582
